,site,ref_to_about
155,https://www.ruchems.ru,https://www.ruchems.ru/o_kompanii
156,https://insokbm.com/,-
157,http://www.milaboratory.com,-
158,https://roistat.com/ru/,-
159,https://www.i-tor.ru,https://www.i-tor.ru/about/
160,http://techvision.aero/,-
161,http://www.dsol.ru,https://dsol.ru/company/
162,https://webinar.ru,-
163,https://www.amocrm.ru/,-
164,http://www.babkee.ru,-
165,https://CITYADS.com,https://CITYADS.com/main/about
166,https://www.cniilot.ru,-
167,https://www.msdecisions.ru,-
168,http://www.grouplb.com,-
169,http://ipc-pilot.com/,-
170,https://seadrone.aero/,-
171,https://tirphotonics.com,-
172,http://liis.su/,-
173,http://www.technodiasoft.ru/,http://www.technodiasoft.ru//#about
174,http://www.iphar.ru/proton-2/,-
175,http://vnh-energo.ru,http://vnh-energo.ru/vnh-energo/
176,https://kribrum.ru,https://kribrum.ru/company/
177,http://www.aerounion.ru,-
178,http://ubic.tech,https://ubic.tech/?page_id=58
179,https://checkmedia.ru,-
180,https://videointellect.com/,-
181,http://www.ap-spb.com,http://www.ap-spb.com/company/index.php
182,http://chemrar.ru,-
183,https://www.securityvision.ru/,-
184,http://neurotrend.ru/,http://neurotrend.ru//o-kompanii/
185,http://www.npozp.ru,-
186,http://www.cursir.com/,https://cursir.com/about/#about-us
187,https://probiomech.ru/,-
188,http://pcg-bc.ru/,http://pcg-bc.ru//aboutus.html
189,http://www.geo-lab.ru,-
190,https://mobility.hyundai.ru,-
191,http://www.co-ms.ru,-
192,http://www.tekvel.com,-
193,http://ecostream.tech,http://ecostream.tech/#technology
194,http://www.fokon.net,http://www.fokon.net/about/
195,http://pmt.ru,-
196,http://playstand.ru/,-
197,https://mmtpro.ru/,https://mmtpro.ru//about
198,https://anyclass.com/ru,-
199,http://www.skq.one,-
200,https://www.everpoint.ru,-
201,https://www.intechsv.ru,-
202,https://mvsystem.ru,-
203,http://www.habilect.com,-
204,https://neuroassist.tech,-
205,https://energo-development.com/,-
206,https://www.4blind.com,http://4blind.com/about-company-en
207,https://skblab.ru,-
208,https://biofoodlab.com,-
209,https://www.ipax-russia.com,https://www.ipax-russia.com/about/
